SN2011ke	0.143	-21.23	0.09	0.04	0.13	0.59	0.03	1.63	0.09486833
SN2012il	0.175	-21.54	0.1	-0.02	0.11	0.48	0.13	1.65	0.172046505
PTF11rks	0.19	-20.61	0.05	0.2	0.06	1.16	0.15	2.11	0.111803399
SN2010gx	0.23	-21.73	0.02	-0.11	0.02	0.53	0.03	1.55	0.036055513
SN2011kf	0.245	-21.74	0.15	9999	9999	9999	9999	1.03	0.212132034
LSQ12dlf	0.255	-21.52	0.03	0.05	0.03	0.57	0.1	1.27	0.114017543
PTF09cnd	0.258	-22.16	0.08	9999	9999	9999	9999	1.04	0.120415946
SN2013dg	0.265	-21.35	0.05	-0.26	0.08	0.56	0.1	1.9	0.078102497
PS1-10bzj	0.65	-21.03	0.06	0.15	0.11	0.94	0.25	1.82	0.257099203
PS1-10ky	0.956	-22.05	0.06	-0.06	0.07	0.25	0.06	1.2	0.072111026
SCP-06F6	1.189	-22.19	0.03	9999	9999	9999	9999	0.96	0.301496269
LSQ14mo	0.256	-21.04	0.05	-0.08	0.04	0.61	0.2	2.23	0.139283883
Gaia16apd	0.102	-21.87	0.04	-0.18	0.07	0.28	0.07	1.3	0.080622577
iPTF13ajg	0.74	-22.42	0.07	-0.29	0.09	-0.11	0.09	0.45	0.098994949
PTF12dam	0.107	-21.7	0.07	-0.23	0.06	-0.09	0.12	0.4	0.211896201
PS1-11ap	0.524	-21.78	0.03	-0.25	0.03	-0.06	0.04	0.67	0.05
SN2015bn	0.114	-21.92	0.02	-0.15	0.04	0.04	0.07	0.66	0.063245553
PS1-11bam	1.565	-22.45	0.1	9999	9999	9999	9999	0.6	0.141421356
