# name peak err d30 err peakcolour err colour30 err
iPTF13ehe -21.58 0.04	0.22 0.06 -0.29 0.05 -0.10 0.05
PS114bj -20.44 0.05	0.07 0.07	0.22 0.06	-0.01 0.07
DES13S2cmm -20.41	0.05 0.96 0.13 -0.24 0.06 0.23 0.14
SN2011fe -19.056 0.01 2.319 0.03 0.015 0.03 1.098 0.05
SN1994I -16.87 0.02 2.44 0.10 0.75 0.03 0.96 0.10
SN1998bw -18.42 0.03 1.86 0.09 0.53 0.05 1.02 0.02
ASASSN15lh -23.811 0.10 0.6832 0.10 -0.767 0.2 -0.461 0.07
SN2006gy -20.95 0.05 0.93 0.06 -0.10 0.02 0.10 0.02
SN2005gj -20.26 0.05 0.34 0.06 0.00 0.05 0.351 0.05
SN2009dc -20.22 0.30 1.63 0.30 -0.15 0.30 0.896 0.30
